------------------  ---------  ------
Scale               WinStride  People
1.01                4          16
1.01                8          13
1.01                12         9
1.01                16         8
1.01                24         7
1.01                32         5
1.11                4          9
1.11                8          6
1.11                12         4
1.11                16         2
1.11                24         1
1.11                32         0
1.2100000000000002  4          8
1.2100000000000002  8          5
1.2100000000000002  12         1
1.2100000000000002  16         1
1.2100000000000002  24         0
1.2100000000000002  32         0
1.3100000000000003  4          7
1.3100000000000003  8          3
1.3100000000000003  12         0
1.3100000000000003  16         0
1.3100000000000003  24         0
1.3100000000000003  32         0
1.4100000000000004  4          8
1.4100000000000004  8          2
1.4100000000000004  12         0
1.4100000000000004  16         0
1.4100000000000004  24         0
1.4100000000000004  32         0
------------------  ---------  ------
