------------------  ---------  ------
Scale               WinStride  People
1.01                4          13
1.01                8          11
1.01                12         9
1.01                16         8
1.01                24         6
1.01                32         5
1.06                4          10
1.06                8          7
1.06                12         5
1.06                16         5
1.06                24         3
1.06                32         2
1.11                4          9
1.11                8          6
1.11                12         5
1.11                16         3
1.11                24         1
1.11                32         1
1.1600000000000001  4          8
1.1600000000000001  8          7
1.1600000000000001  12         5
1.1600000000000001  16         3
1.1600000000000001  24         1
1.1600000000000001  32         1
1.2100000000000002  4          8
1.2100000000000002  8          5
1.2100000000000002  12         3
1.2100000000000002  16         2
1.2100000000000002  24         1
1.2100000000000002  32         0
1.2600000000000002  4          8
1.2600000000000002  8          6
1.2600000000000002  12         2
1.2600000000000002  16         1
1.2600000000000002  24         0
1.2600000000000002  32         0
1.3100000000000003  4          7
1.3100000000000003  8          5
1.3100000000000003  12         2
1.3100000000000003  16         1
1.3100000000000003  24         0
1.3100000000000003  32         0
1.3600000000000003  4          8
1.3600000000000003  8          5
1.3600000000000003  12         2
1.3600000000000003  16         1
1.3600000000000003  24         0
1.3600000000000003  32         0
1.4100000000000004  4          8
1.4100000000000004  8          5
1.4100000000000004  12         2
1.4100000000000004  16         1
1.4100000000000004  24         0
1.4100000000000004  32         0
1.4600000000000004  4          8
1.4600000000000004  8          5
1.4600000000000004  12         2
1.4600000000000004  16         1
1.4600000000000004  24         0
1.4600000000000004  32         0
------------------  ---------  ------
