# AveragePeopleAtBusStops,AverageWaitTime
0.000000,0.000000
0.025000,0.200000
0.025000,0.200000
0.100000,0.566667
0.175000,1.366667
0.175000,1.966667
0.200000,1.933333
0.325000,2.666667
0.375000,3.546667
0.375000,3.480000
0.475000,4.380000
0.475000,5.100000
0.475000,4.698333
0.575000,4.671667
0.675000,4.817460
0.700000,4.750476
0.750000,5.394286
0.775000,6.228572
0.750000,6.243507
0.825000,6.770382
0.875000,7.480989
0.900000,8.316595
0.850000,8.773413
0.875000,9.564286
0.875000,9.680000
0.950000,10.222222
0.975000,10.746981
1.025000,10.966667
1.075000,11.794343
1.100000,12.024242
1.150000,11.797879
1.250000,12.292483
1.300000,13.136189
1.300000,13.362738
1.375000,13.494039
1.475000,13.851828
1.550000,14.188371
1.600000,14.648528
1.625000,14.520183
1.725000,14.997861
1.775000,15.487255
1.825000,15.983088
1.875000,16.324396
1.875000,16.840455
1.900000,17.300397
1.950000,17.731632
2.000000,18.416252
2.025000,18.808540
2.075000,19.537348
2.075000,20.230907
2.100000,20.784787
2.150000,21.501245
2.175000,21.620564
2.200000,21.723044
2.225000,22.271784
2.275000,22.976356
2.300000,23.252483
2.350000,23.958070
2.375000,24.247307
2.450000,24.956459
2.400000,24.754271
2.425000,25.295397
2.450000,25.487996
2.450000,25.887669
2.475000,26.413224
2.525000,26.674838
2.600000,27.486477
2.600000,27.516328
2.675000,27.996592
2.725000,28.811538
2.725000,29.380380
2.675000,29.729597
2.700000,30.290985
2.725000,30.806698
2.750000,31.264810
2.725000,30.473869
2.800000,31.271968
2.800000,31.912846
2.800000,32.028439
2.875000,32.283551
2.925000,31.526412
3.075000,31.826504
3.125000,32.628065
3.125000,33.023391
3.125000,33.723311
3.000000,32.376331
3.025000,32.507488
3.025000,32.739086
3.025000,32.870994
3.050000,33.030689
3.100000,33.770604
3.100000,34.510518
3.100000,34.898928
3.150000,35.484392
3.125000,35.539990
3.175000,36.276046
3.175000,36.437236
3.125000,36.098765
3.125000,36.370915
3.175000,36.793333
3.200000,37.117875
3.225000,37.589471
3.250000,37.624353
3.325000,38.115083
3.325000,38.251491
3.375000,38.497262
3.450000,39.223911
3.450000,39.794610
3.475000,40.234209
3.500000,40.718787
3.525000,41.290730
3.550000,41.783588
3.575000,42.516447
3.575000,42.751145
3.600000,43.193901
3.600000,42.761166
3.750000,43.251710
3.750000,44.165583
3.750000,44.438876
3.800000,44.274751
3.825000,44.335981
3.825000,44.919715
3.775000,44.756217
3.775000,44.398885
3.825000,45.119736
3.750000,44.669468
3.725000,44.041408
3.700000,44.691039
3.725000,45.221439
3.750000,45.073592
3.850000,45.061988
3.925000,45.462018
3.950000,45.678524
4.000000,45.905586
4.050000,46.014392
4.075000,46.435117
4.100000,46.777628
4.125000,47.273475
4.150000,47.710815
4.175000,48.215624
4.200000,48.910986
4.200000,49.250968
4.250000,49.413094
4.300000,49.843552
4.325000,49.887807
4.400000,50.593648
4.425000,51.107381
4.425000,51.776610
4.450000,52.313970
4.425000,52.605203
4.450000,53.060005
4.450000,53.467349
4.475000,54.168321
4.475000,54.697931
4.500000,55.231760
4.500000,55.386582
4.450000,54.639897
4.525000,54.740927
4.425000,51.978055
4.375000,51.322937
4.400000,51.514813
4.425000,51.774845
4.475000,51.990116
4.500000,52.093281
4.575000,52.749464
4.450000,52.856628
4.475000,53.109141
4.525000,53.329767
4.550000,53.942479
4.550000,54.414672
4.575000,54.668214
4.600000,55.227197
4.625000,55.473486
4.675000,55.401228
4.775000,55.249423
4.850000,55.680296
4.850000,55.691022
4.925000,56.179485
4.925000,56.921355
4.950000,57.012278
5.025000,57.497102
5.050000,57.771371
5.100000,57.864536
5.175000,58.534615
5.100000,58.690729
5.075000,58.910547
5.100000,59.564506
