# AveragePeopleAtBusStops,AverageWaitTime
0.000000,0.000000
0.025000,0.200000
0.025000,0.200000
0.100000,0.566667
0.175000,1.366667
0.175000,1.966667
0.200000,1.933333
0.325000,2.666667
0.375000,3.546667
0.375000,3.480000
0.475000,4.380000
0.475000,5.100000
0.375000,4.006667
0.475000,3.871667
0.575000,4.017460
0.675000,4.521905
0.725000,5.137143
0.750000,5.942857
0.750000,6.243507
0.825000,6.770382
0.825000,7.315909
0.850000,8.100721
0.800000,8.451190
0.825000,9.194841
0.825000,9.290000
0.900000,9.787222
0.925000,10.266981
0.975000,10.466667
1.025000,11.252121
1.050000,11.495151
1.100000,11.270606
1.175000,11.728846
1.225000,12.520804
1.200000,12.494090
1.275000,12.605927
1.375000,12.918062
1.450000,13.245514
1.500000,13.722932
1.525000,13.664721
1.625000,14.105318
1.675000,14.554657
1.725000,15.005147
1.775000,15.321610
1.850000,15.984577
1.850000,16.381830
1.900000,16.808137
1.950000,17.461109
1.950000,17.681398
2.025000,18.508383
2.025000,19.176310
2.050000,19.697631
2.025000,20.054961
2.000000,19.964957
2.075000,20.602526
2.100000,21.091082
2.125000,21.637820
2.150000,21.925998
2.200000,22.577018
2.200000,22.819657
2.275000,23.469366
2.275000,24.117825
2.250000,24.390383
2.275000,24.591796
2.350000,25.173567
2.375000,25.684433
2.425000,25.931976
2.475000,26.708901
2.450000,26.652892
2.525000,27.089745
2.575000,27.861280
2.575000,28.417378
2.600000,29.028386
2.625000,29.593503
2.650000,30.086876
2.675000,30.519883
2.675000,30.373469
2.700000,29.552824
2.675000,29.730856
2.650000,29.504293
2.625000,28.747235
2.675000,28.132637
2.825000,28.467381
2.750000,28.740755
2.725000,28.945978
2.775000,29.647460
2.775000,30.008132
2.750000,30.427256
2.775000,30.793730
2.800000,31.351420
2.800000,31.452938
2.850000,32.145862
2.850000,32.838785
2.850000,33.195957
2.900000,33.748739
2.850000,33.055118
2.900000,33.739236
2.850000,33.505424
2.925000,34.037429
2.825000,32.873110
2.825000,33.092726
2.750000,32.538903
2.800000,32.930343
2.825000,32.951144
2.875000,33.381360
2.850000,33.030958
2.900000,33.239968
2.975000,33.874086
2.975000,34.374895
3.000000,34.774909
2.975000,35.143919
3.000000,35.641792
3.025000,36.067824
3.025000,36.636714
3.025000,36.811360
3.075000,37.205829
3.025000,36.680868
3.175000,37.080975
3.150000,37.627352
3.150000,37.865440
3.200000,37.691741
3.300000,38.322395
3.300000,38.813908
3.300000,38.914062
3.350000,39.100488
3.375000,39.876978
3.375000,39.719349
3.450000,40.329887
3.425000,40.778442
3.425000,41.255880
3.450000,41.127409
3.450000,40.886578
3.500000,41.265719
3.550000,41.512096
3.575000,41.716660
3.625000,41.807012
3.700000,42.245119
3.725000,42.526121
3.775000,42.990071
3.800000,43.404575
3.825000,43.849632
3.850000,44.484837
3.850000,44.766582
3.875000,44.955861
3.925000,45.374020
3.950000,45.371958
4.025000,46.016193
4.050000,46.468685
4.075000,46.962695
4.100000,47.441652
4.125000,47.674394
4.175000,48.159139
4.200000,48.578468
4.200000,49.465473
4.200000,49.949966
4.125000,50.586385
4.125000,50.896256
4.175000,50.993233
4.200000,51.090165
4.250000,51.489516
4.275000,51.483655
4.275000,51.771516
4.300000,51.999885
4.350000,52.205948
4.400000,52.296459
4.475000,52.944290
4.475000,53.418913
4.500000,53.659368
4.550000,53.885895
4.600000,54.539982
4.600000,55.031038
4.625000,55.276602
4.675000,55.691673
4.700000,55.951072
4.725000,55.853957
4.750000,53.961420
4.800000,53.822663
4.825000,53.953876
4.800000,53.220341
4.800000,53.377775
4.750000,51.765108
4.650000,49.863248
4.525000,47.342445
4.375000,45.020445
4.175000,42.150076
4.025000,40.841116
3.825000,38.081101
3.650000,37.264172
