# Step,AveragePeopleAtBusStops,AverageWaitTime
0.000000,0.000000,0.000000
1.000000,0.000000,0.000000
2.000000,0.125000,1.000000
3.000000,0.125000,1.000000
4.000000,0.250000,2.000000
5.000000,0.250000,3.000000
6.000000,0.250000,2.666667
7.000000,0.375000,2.750000
8.000000,0.500000,3.750000
9.000000,0.500000,4.750000
10.000000,0.500000,4.600000
11.000000,0.625000,4.666667
12.000000,0.750000,5.666667
13.000000,0.750000,6.666667
14.000000,0.750000,6.571429
15.000000,0.875000,7.571429
16.000000,0.875000,7.500000
17.000000,1.000000,6.800000
18.000000,1.250000,7.090909
19.000000,1.375000,8.090909
20.000000,1.375000,8.333333
21.000000,1.500000,9.333333
22.000000,1.500000,9.538462
23.000000,1.625000,10.538462
24.000000,1.625000,10.000000
25.000000,1.875000,11.000000
26.000000,1.875000,12.000000
27.000000,1.875000,13.000000
28.000000,1.875000,14.000000
29.000000,1.875000,15.000000
30.000000,1.875000,16.000000
31.000000,1.875000,15.000000
32.000000,2.125000,15.111111
33.000000,2.250000,15.263158
34.000000,2.250000,14.000000
35.000000,2.625000,14.954545
36.000000,2.625000,15.217391
37.000000,2.750000,15.500000
38.000000,2.875000,15.192308
39.000000,3.125000,16.153846
40.000000,3.125000,16.481481
41.000000,3.250000,17.444444
42.000000,3.250000,18.407407
43.000000,3.250000,19.370370
44.000000,3.250000,20.333333
45.000000,3.250000,21.296296
46.000000,3.250000,22.259259
47.000000,3.250000,23.222222
48.000000,3.250000,23.321429
49.000000,3.375000,24.285714
50.000000,3.375000,24.379310
51.000000,3.500000,24.500000
52.000000,3.625000,25.466667
53.000000,3.625000,25.580645
54.000000,3.750000,26.548387
55.000000,3.750000,25.848485
56.000000,4.000000,26.818182
57.000000,4.000000,27.787879
58.000000,4.000000,27.911765
59.000000,4.125000,28.882353
60.000000,4.125000,29.852941
61.000000,4.125000,30.823529
62.000000,4.125000,31.794118
63.000000,4.125000,31.828571
64.000000,4.250000,32.800000
65.000000,4.250000,31.945946
66.000000,4.500000,32.052632
67.000000,4.625000,31.375000
68.000000,4.875000,31.560976
69.000000,5.000000,31.761905
70.000000,5.125000,32.738095
71.000000,5.125000,32.181818
72.000000,5.375000,32.422222
73.000000,5.500000,32.673913
74.000000,5.625000,32.936170
75.000000,5.750000,33.208333
76.000000,5.875000,33.489796
77.000000,6.000000,34.469388
78.000000,6.000000,34.740000
79.000000,6.125000,34.346154
80.000000,6.250000,34.641509
81.000000,6.375000,35.603774
82.000000,6.375000,35.888889
83.000000,6.500000,36.181818
84.000000,6.625000,36.482143
85.000000,6.750000,37.446429
86.000000,6.750000,38.410714
87.000000,6.750000,39.375000
88.000000,6.750000,40.339286
89.000000,6.750000,40.578947
90.000000,6.875000,40.827586
91.000000,6.875000,41.067797
92.000000,7.000000,41.316667
93.000000,7.125000,42.266667
94.000000,7.125000,43.216667
95.000000,7.125000,43.442623
96.000000,7.250000,44.393443
97.000000,7.250000,45.344262
98.000000,7.250000,46.295082
99.000000,7.250000,46.483871
100.000000,7.375000,46.682540
101.000000,7.500000,46.169231
102.000000,7.625000,45.701493
103.000000,7.875000,45.955882
104.000000,8.125000,46.231884
105.000000,8.250000,47.188406
106.000000,8.250000,48.144928
107.000000,7.875000,44.400000
108.000000,7.750000,42.211268
109.000000,7.625000,40.430556
110.000000,7.500000,39.666667
111.000000,7.250000,39.222222
112.000000,7.000000,38.452055
113.000000,6.875000,38.067568
114.000000,6.750000,38.675676
115.000000,6.750000,39.405405
116.000000,6.750000,40.135135
117.000000,6.750000,39.789474
118.000000,7.000000,40.000000
119.000000,7.125000,40.217949
120.000000,7.250000,40.961538
121.000000,7.250000,41.177215
122.000000,7.375000,41.400000
123.000000,7.500000,42.150000
124.000000,7.500000,42.370370
125.000000,7.625000,43.123457
126.000000,7.625000,43.876543
127.000000,7.625000,44.629630
128.000000,7.625000,45.382716
129.000000,7.625000,46.135802
130.000000,7.625000,46.317073
131.000000,7.750000,47.073171
132.000000,7.750000,47.829268
133.000000,7.750000,48.585366
134.000000,7.750000,48.166667
135.000000,8.000000,48.352941
136.000000,8.125000,49.117647
137.000000,8.125000,49.882353
138.000000,8.125000,50.647059
139.000000,8.125000,51.411765
140.000000,8.125000,52.176471
141.000000,8.125000,51.724138
142.000000,8.375000,52.494253
143.000000,8.375000,53.264368
144.000000,8.375000,52.820225
145.000000,8.625000,53.595506
146.000000,8.625000,53.766667
147.000000,8.750000,54.544444
148.000000,8.750000,55.322222
149.000000,8.750000,55.483516
150.000000,8.875000,55.652174
151.000000,9.000000,56.434783
152.000000,9.000000,56.602151
153.000000,9.125000,56.178947
154.000000,9.375000,56.968421
155.000000,9.375000,57.156250
156.000000,9.500000,57.350515
157.000000,9.625000,58.144330
158.000000,9.625000,58.336735
159.000000,9.750000,59.132653
160.000000,9.750000,59.323232
161.000000,9.875000,59.520000
162.000000,10.000000,60.320000
163.000000,10.000000,61.120000
164.000000,10.000000,61.920000
165.000000,10.000000,62.720000
166.000000,10.000000,63.520000
167.000000,10.000000,64.320000
168.000000,10.000000,64.475248
169.000000,10.125000,65.277228
