# Step,PedestrianCount,AveragePeopleAtBusStops,AverageWaitTime
0.000000,1.000000,0.000000,0.000000
1.000000,2.000000,0.125000,0.500000
2.000000,5.000000,0.250000,0.600000
3.000000,5.000000,0.500000,1.600000
4.000000,7.000000,0.625000,1.714286
5.000000,7.000000,0.875000,2.714286
6.000000,8.000000,0.875000,3.250000
7.000000,9.000000,1.000000,3.777778
8.000000,11.000000,1.125000,3.909091
9.000000,11.000000,1.375000,4.909091
10.000000,13.000000,1.375000,5.000000
11.000000,13.000000,1.625000,6.000000
12.000000,13.000000,1.625000,7.000000
13.000000,13.000000,1.625000,8.000000
14.000000,13.000000,1.625000,9.000000
15.000000,13.000000,1.625000,10.000000
16.000000,13.000000,1.625000,11.000000
17.000000,15.000000,1.625000,10.400000
18.000000,17.000000,1.875000,10.058824
19.000000,18.000000,2.125000,10.444444
20.000000,19.000000,2.250000,10.842105
21.000000,19.000000,2.125000,10.526316
22.000000,23.000000,2.125000,9.434783
23.000000,23.000000,2.500000,10.304348
24.000000,24.000000,2.500000,10.708333
25.000000,25.000000,2.625000,11.120000
26.000000,25.000000,2.750000,12.000000
27.000000,26.000000,2.750000,12.384615
28.000000,27.000000,2.875000,12.777778
29.000000,28.000000,3.000000,13.178571
30.000000,28.000000,3.125000,14.071429
31.000000,29.000000,3.125000,14.448276
32.000000,29.000000,3.250000,15.344828
33.000000,29.000000,3.250000,16.241379
34.000000,29.000000,3.250000,17.137931
35.000000,29.000000,3.250000,18.034483
36.000000,30.000000,3.250000,18.300000
37.000000,30.000000,3.375000,19.200000
38.000000,30.000000,3.375000,20.100000
39.000000,30.000000,3.375000,21.000000
40.000000,32.000000,3.375000,20.531250
41.000000,33.000000,3.625000,20.787879
42.000000,33.000000,3.750000,21.696970
43.000000,33.000000,3.750000,22.606061
44.000000,35.000000,3.750000,22.171429
45.000000,35.000000,3.875000,23.057143
46.000000,35.000000,3.875000,23.942857
47.000000,35.000000,3.875000,24.828571
48.000000,36.000000,3.875000,25.000000
